Designator,Mid X,Mid Y,Rotation,Layer
10K_3,122.02,-87.725,90.0,top
10K_2,124.53,-87.725,90.0,top
10K,102.675,-105.25,180.0,top
120R,103.5,-116.25,0.0,top
1UF_3,96.0,-109.525,90.0,top
1UF_2,117.0,-87.725,90.0,top
1UF,119.51,-87.725,90.0,top
ADC1,125.5,-92.5,0.0,top
CAN1,135.25,-111.25,0.0,top
CAN3,135.25,-117.75,0.0,top
ESP32C3SUPERMINI1,118.14,-116.12,90.0,top
J1,126.12,-83.5,90.0,top
J4,126.0,-98.75,90.0,top
J5,141.0,-119.75,0.0,top
J6,125.76,-104.5,270.0,top
RN100R,112.35,-88.7,90.0,top
U1,101.525,-109.595,270.0,top
UART1,137.0,-92.5,0.0,top
